Iteration,IMUNo,OrientationX (deg),OrientationY,OrientationZ,GyroX (20rad/sec),GyroY,GyroZ,Elbow_Pos (rad),Time (sec)
30.00,0.00,80.81,-3.25,-90.00,1.69,2.56,-0.31,0.06,0.00
30.00,1.00,356.56,2.81,-57.56,-0.56,-1.69,-1.62,0.06,0.00
30.00,2.00,69.06,-14.75,17.69,-0.06,1.06,-1.38,0.06,0.00
30.00,0.00,79.69,-2.69,-90.81,-0.06,10.81,1.88,0.14,1.02
30.00,1.00,356.31,3.19,-57.44,1.38,1.94,5.31,0.14,1.02
30.00,2.00,69.19,-14.62,17.75,-2.56,-3.69,4.94,0.14,1.02
30.00,0.00,79.44,-2.62,-90.81,1.94,10.31,2.81,0.28,1.04
30.00,1.00,356.25,3.25,-57.44,1.19,1.50,3.06,0.28,1.04
30.00,2.00,69.06,-14.62,17.75,-2.31,-2.19,4.38,0.28,1.04
30.00,0.00,79.19,-2.56,-90.88,4.44,9.19,3.56,0.47,1.06
30.00,1.00,356.12,3.25,-57.50,1.31,1.50,2.44,0.47,1.06
30.00,2.00,69.00,-14.62,17.75,-1.25,-1.19,3.50,0.47,1.06
30.00,0.00,78.94,-2.50,-91.00,6.12,7.81,3.88,0.67,1.08
30.00,1.00,356.12,3.31,-57.50,1.56,0.62,0.81,0.67,1.08
30.00,2.00,68.94,-14.62,17.75,0.12,-0.75,2.44,0.67,1.08
30.00,0.00,78.75,-2.50,-91.12,6.81,6.19,2.88,0.85,1.10
30.00,1.00,356.06,3.31,-57.56,1.88,0.12,-0.06,0.85,1.10
30.00,2.00,68.94,-14.62,17.75,1.25,-0.06,1.50,0.85,1.10
30.00,0.00,78.62,-2.50,-91.25,8.69,4.31,1.50,1.09,1.12
30.00,1.00,356.06,3.31,-57.56,2.06,0.38,-0.19,1.09,1.12
30.00,2.00,68.94,-14.62,17.69,1.56,1.12,1.06,1.09,1.12
30.00,0.00,78.62,-2.44,-91.50,11.44,-2.19,1.44,1.42,1.14
30.00,1.00,356.06,3.31,-57.62,2.00,0.06,0.00,1.42,1.14
30.00,2.00,68.88,-14.69,17.69,1.38,1.44,0.75,1.42,1.14
30.00,0.00,78.75,-2.50,-91.69,11.94,-5.88,1.06,1.75,1.16
30.00,1.00,356.06,3.31,-57.62,1.69,-0.44,-0.31,1.75,1.16
30.00,2.00,68.88,-14.69,17.62,1.94,2.06,0.50,1.75,1.16
30.00,0.00,79.00,-2.56,-91.94,12.62,-8.31,0.62,2.08,1.18
30.00,1.00,356.12,3.31,-57.69,1.56,-0.75,-1.12,2.08,1.18
30.00,2.00,68.94,-14.75,17.62,2.69,1.94,-0.69,2.08,1.18
