Iteration,IMUNo,OrientationX (deg),OrientationY,OrientationZ,GyroX (20rad/sec),GyroY,GyroZ,Elbow_Pos (rad),Time (sec)
101.00,0.00,227.88,10.44,-110.75,0.06,-0.50,-0.56,-0.03,1.00
101.00,1.00,245.06,-3.00,-65.31,0.44,0.31,-0.31,-0.03,1.00
101.00,2.00,241.38,-27.12,23.06,0.69,0.75,0.12,-0.03,1.02
101.00,0.00,227.88,10.44,-110.75,0.31,-0.31,-0.44,-0.05,1.02
101.00,1.00,245.06,-3.00,-65.31,0.69,0.38,-0.31,-0.05,1.02
101.00,2.00,241.38,-27.12,23.06,0.88,0.75,0.31,-0.05,1.02
101.00,0.00,227.88,10.44,-110.81,0.19,0.12,-0.38,-0.07,1.04
101.00,1.00,245.06,-3.00,-65.31,0.56,0.38,-0.19,-0.07,1.04
101.00,2.00,241.38,-27.12,23.00,0.56,0.50,0.50,-0.07,1.04
101.00,0.00,227.88,10.44,-110.81,0.31,-0.19,-0.38,-0.08,1.06
101.00,1.00,245.06,-3.00,-65.31,0.38,0.44,-0.12,-0.08,1.06
101.00,2.00,241.38,-27.12,23.00,0.56,0.31,0.31,-0.08,1.06
101.00,0.00,227.88,10.44,-110.81,-0.06,0.19,-0.50,-0.11,1.08
101.00,1.00,245.00,-3.00,-65.31,0.50,0.69,0.06,-0.11,1.08
101.00,2.00,241.38,-27.12,23.00,0.62,0.44,0.56,-0.11,1.08
101.00,0.00,227.88,10.44,-110.81,0.06,0.06,-0.62,-0.12,1.10
101.00,1.00,245.00,-3.06,-65.31,0.19,0.69,0.12,-0.12,1.10
101.00,2.00,241.38,-27.12,23.00,0.31,0.44,0.75,-0.12,1.10
101.00,0.00,227.88,10.38,-110.75,0.19,0.19,-0.94,-0.12,1.12
101.00,1.00,245.00,-3.06,-65.31,0.25,0.81,0.31,-0.12,1.12
101.00,2.00,241.31,-27.12,23.00,0.19,0.38,0.81,-0.12,1.12
101.00,0.00,227.88,10.38,-110.75,0.25,0.62,-0.88,-0.10,1.14
101.00,1.00,245.00,-3.06,-65.31,0.19,0.94,0.44,-0.10,1.14
101.00,2.00,241.31,-27.19,23.00,-0.19,0.31,1.00,-0.10,1.14
101.00,0.00,227.88,10.38,-110.75,0.56,0.88,-0.81,-0.07,1.16
101.00,1.00,245.00,-3.06,-65.31,-0.06,1.00,0.62,-0.07,1.16
101.00,2.00,241.31,-27.19,23.00,-0.12,0.12,0.94,-0.07,1.16
101.00,0.00,227.88,10.38,-110.75,0.25,1.25,-0.69,-0.04,1.18
101.00,1.00,245.00,-3.06,-65.31,0.25,1.12,0.50,-0.04,1.18
101.00,2.00,241.25,-27.19,23.00,-0.31,-0.31,0.94,-0.04,1.18
101.00,0.00,227.88,10.38,-110.75,0.69,1.62,-0.81,0.00,1.20
101.00,1.00,244.94,-3.06,-65.31,-0.19,1.31,0.38,0.00,1.20
101.00,2.00,241.25,-27.19,22.94,-0.38,-0.12,1.25,0.00,1.20
101.00,0.00,227.81,10.38,-110.75,0.75,1.19,-1.00,0.07,1.22
101.00,1.00,244.94,-3.06,-65.31,-0.12,1.06,0.69,0.07,1.22
101.00,2.00,241.25,-27.19,22.94,-0.81,0.06,1.56,0.07,1.22
101.00,0.00,227.81,10.31,-110.81,1.25,0.75,-0.94,0.14,1.24
101.00,1.00,244.88,-3.06,-65.31,0.12,0.94,0.56,0.14,1.24
101.00,2.00,241.19,-27.19,22.94,-0.56,0.19,1.19,0.14,1.24
101.00,0.00,227.81,10.31,-110.88,1.88,1.00,-0.81,0.22,1.26
101.00,1.00,244.88,-3.06,-65.31,0.06,0.94,0.38,0.22,1.26
101.00,2.00,241.19,-27.19,22.94,0.06,0.06,1.25,0.22,1.26
101.00,0.00,227.75,10.31,-110.94,2.25,0.44,-0.38,0.26,1.28
101.00,1.00,244.88,-3.06,-65.31,-0.56,1.31,0.38,0.26,1.28
101.00,2.00,241.12,-27.19,22.94,1.19,-1.06,1.31,0.26,1.28
101.00,0.00,227.69,10.38,-111.06,4.06,0.38,0.88,0.37,1.30
101.00,1.00,244.88,-3.12,-65.31,-0.88,1.19,0.38,0.37,1.30
101.00,2.00,241.12,-27.19,22.88,1.44,-2.00,1.19,0.37,1.30
101.00,0.00,227.62,10.38,-111.19,5.88,-0.06,2.31,0.56,1.32
101.00,1.00,244.88,-3.12,-65.31,-0.56,0.38,0.25,0.56,1.32
101.00,2.00,241.12,-27.12,22.81,1.44,-2.69,0.94,0.56,1.32
101.00,0.00,227.50,10.50,-111.44,8.44,-0.25,3.62,0.83,1.34
101.00,1.00,244.88,-3.12,-65.31,-0.88,-0.06,-0.19,0.83,1.34
