Iteration,IMUNo,OrientationX (deg),OrientationY,OrientationZ,GyroX (20rad/sec),GyroY,GyroZ,Elbow_Pos (rad),Time (sec)
61.00,0.00,207.69,4.06,-96.06,0.00,0.69,0.44,0.02,1.02
61.00,1.00,264.00,-3.81,-58.62,0.00,0.69,0.31,0.02,1.02
61.00,2.00,59.88,-26.44,2.31,-0.62,-0.50,-0.56,0.02,1.02
61.00,0.00,207.69,4.06,-96.06,-0.19,-0.25,0.31,0.02,1.04
61.00,1.00,263.94,-3.81,-58.62,-1.44,0.62,0.25,0.02,1.04
61.00,2.00,59.94,-26.44,2.31,-0.06,-0.12,-0.94,0.02,1.04
61.00,0.00,207.69,4.06,-96.06,-0.69,-0.56,0.06,0.02,1.06
61.00,1.00,263.94,-3.81,-58.56,-0.69,0.88,0.62,0.02,1.06
61.00,2.00,59.94,-26.44,2.38,-0.69,-0.38,-0.62,0.02,1.06
61.00,0.00,207.69,4.06,-96.06,-0.75,-0.94,-0.38,0.03,1.08
61.00,1.00,263.94,-3.81,-58.56,0.00,0.50,1.00,0.03,1.08
61.00,2.00,59.94,-26.44,2.38,-1.06,-0.62,-0.38,0.03,1.08
61.00,0.00,207.69,4.06,-96.06,-0.44,-0.56,-0.62,0.05,1.10
61.00,1.00,263.94,-3.81,-58.56,-1.00,0.19,0.62,0.05,1.10
61.00,2.00,59.94,-26.44,2.38,-1.19,-0.31,-0.50,0.05,1.10
61.00,0.00,207.69,4.06,-96.06,0.06,-0.31,-0.38,0.08,1.12
61.00,1.00,263.94,-3.81,-58.56,-0.94,0.19,0.00,0.08,1.12
61.00,2.00,59.94,-26.44,2.44,-0.75,0.00,-0.62,0.08,1.12
61.00,0.00,207.69,4.06,-96.06,0.12,-0.12,0.06,0.09,1.14
61.00,1.00,263.94,-3.81,-58.56,-0.75,0.19,-0.19,0.09,1.14
61.00,2.00,59.94,-26.44,2.44,0.00,0.56,-0.94,0.09,1.14
61.00,0.00,207.69,4.06,-96.06,0.12,0.06,0.25,0.09,1.16
61.00,1.00,263.94,-3.81,-58.56,-0.44,0.31,-0.44,0.09,1.16
61.00,2.00,59.94,-26.44,2.44,0.00,0.81,-0.69,0.09,1.16
61.00,0.00,207.69,4.06,-96.06,0.19,-0.50,0.38,0.09,1.18
61.00,1.00,263.94,-3.81,-58.56,-0.56,0.31,-0.19,0.09,1.18
61.00,2.00,60.00,-26.44,2.44,0.12,0.56,-0.81,0.09,1.18
61.00,0.00,207.75,4.06,-96.06,0.25,-0.69,0.00,0.12,1.20
61.00,1.00,263.88,-3.81,-58.56,-0.75,0.25,-0.25,0.12,1.20
61.00,2.00,60.00,-26.44,2.44,-0.56,0.25,-0.62,0.12,1.20
61.00,0.00,207.75,4.06,-96.06,-0.12,-1.25,-0.62,0.15,1.22
61.00,1.00,263.88,-3.81,-58.50,-0.81,0.44,0.12,0.15,1.22
61.00,2.00,60.00,-26.44,2.50,-1.06,0.12,-0.56,0.15,1.22
61.00,0.00,207.81,4.00,-96.06,-0.50,-0.69,-0.81,0.18,1.24
61.00,1.00,263.88,-3.81,-58.50,-0.50,0.31,0.31,0.18,1.24
61.00,2.00,60.00,-26.44,2.50,-1.25,0.06,-0.75,0.18,1.24
61.00,0.00,207.81,4.00,-96.06,-0.56,-0.12,-0.62,0.19,1.26
61.00,1.00,263.88,-3.81,-58.50,-0.62,0.44,0.00,0.19,1.26
61.00,2.00,60.00,-26.44,2.56,-0.94,0.69,-0.94,0.19,1.26
61.00,0.00,207.81,4.00,-96.06,0.00,-0.25,-0.06,0.21,1.28
61.00,1.00,263.88,-3.81,-58.50,-1.00,0.25,0.06,0.21,1.28
61.00,2.00,60.00,-26.50,2.56,-0.50,0.44,-1.00,0.21,1.28
61.00,0.00,207.81,4.00,-96.06,0.06,-0.50,0.44,0.24,1.30
61.00,1.00,263.88,-3.81,-58.44,-0.94,0.75,0.31,0.24,1.30
61.00,2.00,60.06,-26.50,2.56,-0.88,0.94,-0.94,0.24,1.30
61.00,0.00,207.81,4.00,-96.06,0.06,-0.38,0.81,0.29,1.32
61.00,1.00,263.88,-3.81,-58.44,-1.19,0.75,0.56,0.29,1.32
61.00,2.00,60.06,-26.50,2.62,-1.44,1.44,-0.94,0.29,1.32
61.00,0.00,207.81,4.00,-96.06,0.06,0.31,0.50,0.37,1.34
61.00,1.00,263.88,-3.81,-58.44,-1.19,1.06,0.94,0.37,1.34
61.00,2.00,60.06,-26.56,2.62,-2.12,1.38,-0.06,0.37,1.34
61.00,0.00,207.75,4.00,-96.06,0.06,1.31,0.38,0.43,1.36
61.00,1.00,263.81,-3.81,-58.44,-0.69,1.25,1.31,0.43,1.36
61.00,2.00,60.00,-26.56,2.69,-1.75,1.50,0.44,0.43,1.36
61.00,0.00,207.69,4.06,-96.06,-0.44,2.75,0.88,0.46,1.38
61.00,1.00,263.75,-3.81,-58.44,-0.44,1.31,1.38,0.46,1.38
61.00,2.00,60.00,-26.62,2.69,-1.12,2.12,1.00,0.46,1.38
61.00,0.00,207.56,4.12,-96.12,0.12,3.62,1.81,0.52,1.40
61.00,1.00,263.75,-3.81,-58.44,-0.50,1.94,1.44,0.52,1.40
61.00,2.00,60.00,-26.69,2.69,-1.81,2.81,1.56,0.52,1.40
61.00,0.00,207.44,4.19,-96.12,1.75,3.06,2.69,0.67,1.42
61.00,1.00,263.69,-3.81,-58.38,-1.06,2.25,1.94,0.67,1.42
61.00,2.00,59.94,-26.69,2.69,-2.56,1.62,2.31,0.67,1.42
61.00,0.00,207.31,4.25,-96.25,3.56,2.62,2.56,0.88,1.44
61.00,1.00,263.62,-3.81,-58.38,-1.00,2.25,1.62,0.88,1.44
61.00,2.00,59.88,-26.69,2.69,-2.44,0.25,2.81,0.88,1.44
61.00,0.00,207.19,4.31,-96.44,5.62,2.44,1.88,1.09,1.46
61.00,1.00,263.56,-3.75,-58.38,-1.00,1.19,0.62,1.09,1.46
